solar,lunarYear,lunarMonth,lunarDay
12/09/21,2021,11,6
12/10/21,2021,11,7
12/11/21,2021,11,8
12/12/21,2021,11,9
12/13/21,2021,11,10
12/14/21,2021,11,11
12/15/21,2021,11,12
12/16/21,2021,11,13
12/17/21,2021,11,14
12/18/21,2021,11,15
12/19/21,2021,11,16
12/20/21,2021,11,17
12/21/21,2021,11,18
12/22/21,2021,11,19
12/23/21,2021,11,20
12/24/21,2021,11,21
12/25/21,2021,11,22
12/26/21,2021,11,23
12/27/21,2021,11,24
12/28/21,2021,11,25
12/29/21,2021,11,26
12/30/21,2021,11,27
12/31/21,2021,11,28
